Stock,Criterion,Aggregated MD,Aggregated NMD,Utility level
AAPL,Industry Policy,0.4732039181818506,0.2556752464797964,0.5541687365701637
AAPL,Industry Position,0.5779308266587109,0.2548330747012046,0.5800790119706126
AAPL,Management Team,0.5926206800055746,0.2423093550100162,0.5866930723813755
AAPL,Market Sentiment,0.6402528742888642,0.17185164014313734,0.6150052802174146
ADBE,Industry Policy,0.5768482195482021,0.2904313972965331,0.571118686272172
ADBE,Industry Position,0.6275161542264638,0.22670465278123453,0.5988826164310427
ADBE,Management Team,0.6455244475236765,0.20452646022293575,0.6084968054336498
ADBE,Market Sentiment,0.5487428810011413,0.22909371763356098,0.5792387481942748
AMD,Industry Policy,0.580569412164418,0.2291721539005948,0.5869563693485288
AMD,Industry Position,0.6100168744572272,0.2674645559829953,0.5848103780763253
AMD,Management Team,0.5578149435334917,0.22003486300757324,0.5836511773740007
AMD,Market Sentiment,0.5776335350059825,0.24958998433285884,0.5812832665770622
AMZN,Industry Policy,0.41106379821690675,0.340421251240731,0.5176532959821705
AMZN,Industry Position,0.5624034263916514,0.2739808174848703,0.5716099176944203
AMZN,Management Team,0.6567808027446205,0.2420009882261772,0.6022334330127905
AMZN,Market Sentiment,0.4974022344607767,0.32712704656933744,0.5424662422761479
BAC,Industry Policy,0.6287695245328708,0.23633303627214433,0.5968690963891163
BAC,Industry Position,0.6134413763429071,0.17782121521052394,0.6072149094103866
BAC,Management Team,0.627705997461111,0.19182947947626164,0.6072760501112463
BAC,Market Sentiment,0.5728549064788445,0.21247973271284915,0.5891312500130962
COST,Industry Policy,0.5953782785720254,0.23652573151026116,0.5887626397075381
COST,Industry Position,0.5686182058474841,0.2646350559504518,0.5754159409881577
COST,Management Team,0.6365061422726466,0.20789710636953734,0.6055414701810192
COST,Market Sentiment,0.6991343956100177,0.19981675930292503,0.6222989598062497
CRM,Industry Policy,0.6147793360673908,0.22113734083085515,0.5971591272076173
CRM,Industry Position,0.5573451175070261,0.2438576926091621,0.5777362729447849
CRM,Management Team,0.5854476776799475,0.2196910563916365,0.5904332319866025
CRM,Market Sentiment,0.5460172559116755,0.24115635236869973,0.5756303729110346
CSCO,Industry Policy,0.6171124293725403,0.24685575793829118,0.5915209978440734
CSCO,Industry Position,0.5129700817820511,0.2831143811970164,0.557212252365677
CSCO,Management Team,0.47792331701613044,0.29267155830700703,0.5461809445275897
CSCO,Market Sentiment,0.604557737852806,0.3139861011753306,0.5721360732915189
DIS,Industry Policy,0.48393666179594186,0.37217997771124817,0.5279101283059232
DIS,Industry Position,0.5801281162240555,0.26041996908758375,0.5792531237232429
DIS,Management Team,0.5849211767367887,0.28700168703690376,0.5739338401766875
DIS,Market Sentiment,0.5439244532307226,0.32099263088766905,0.5555032761824931
GOOGL,Industry Policy,0.5777904207973446,0.2567280378916896,0.5795831411622866
GOOGL,Industry Position,0.5866304786767049,0.20640628631635438,0.5939271742672105
GOOGL,Management Team,0.56539473846876,0.3219931221843726,0.560551753081146
GOOGL,Market Sentiment,0.6680300785813006,0.23136556880353432,0.6074639638364248
GS,Industry Policy,0.6119247674283761,0.26427040935752544,0.5860486515295572
GS,Industry Position,0.5345658359568783,0.2751638210804626,0.5644892881368744
GS,Management Team,0.547308721574253,0.22585906817328177,0.579677503108156
GS,Market Sentiment,0.5834562575280923,0.238431463982383,0.5854105866605047
IBM,Industry Policy,0.5797349766151656,0.24230712521816822,0.5835655823008392
IBM,Industry Position,0.5564436960983756,0.26712258824207274,0.5718299207767621
IBM,Management Team,0.3925062516808776,0.274007027954316,0.5295901884175669
IBM,Market Sentiment,0.6495922256847606,0.1941207910144561,0.6119393263044447
INTC,Industry Policy,0.4554967643526594,0.3083834049955518,0.5367121523014207
INTC,Industry Position,0.48951529191651755,0.27070838715171286,0.5544845222698196
INTC,Management Team,0.5487376524743957,0.22735645119965617,0.5796608245542697
INTC,Market Sentiment,0.5826795651684569,0.24894240832507047,0.5826684058604792
JPM,Industry Policy,0.5038174757183911,0.2972504920833837,0.5514588969922366
JPM,Industry Position,0.4626040047715603,0.2580428256176154,0.5509627062297924
JPM,Management Team,0.5493921313756731,0.2271013210136963,0.5798824385125362
JPM,Market Sentiment,0.5163332446533453,0.31498331583060246,0.5501681045411728
KO,Industry Policy,0.5255304000315199,0.2579032750722883,0.5665102751192631
KO,Industry Position,0.5275049825741591,0.24614248889024876,0.5698802257175436
KO,Management Team,0.6173876572255896,0.27630745113675237,0.5844528940228093
KO,Market Sentiment,0.5036847283896075,0.23687483284263355,0.5663095719779926
MCD,Industry Policy,0.6928995883535287,0.19539242268596416,0.6218733272933952
MCD,Industry Position,0.4832341141637172,0.2967069477064325,0.5464970577667225
MCD,Management Team,0.6327294077562322,0.19956397302377976,0.6066292911498392
MCD,Market Sentiment,0.4709788314759352,0.23200420985306086,0.5594609454343216
META,Industry Policy,0.548105470065271,0.23655713179458704,0.5772631478797398
META,Industry Position,0.41740100912222766,0.30645173942582943,0.527708899140909
META,Management Team,0.45674373059594053,0.26636487176335366,0.5474514814826589
META,Market Sentiment,0.6796985826182363,0.23580016280318314,0.6091875531021599
MRK,Industry Policy,0.5843358644149788,0.3096361731706752,0.5682463065054377
MRK,Industry Position,0.4998073567426744,0.2672621370219514,0.5578757262121411
MRK,Management Team,0.6082971269213509,0.23121556642719207,0.5931690184186205
MRK,Market Sentiment,0.5411939538521289,0.24489695701483333,0.5735370383400081
MSFT,Industry Policy,0.6525407649001362,0.2592880322203118,0.5970654826259975
MSFT,Industry Position,0.3810220306955283,0.28513853821677615,0.5239525250150191
MSFT,Management Team,0.6210380935833872,0.24479027059714709,0.5929678056534742
MSFT,Market Sentiment,0.6165755202286768,0.23565000722983756,0.5940963060077405
NFLX,Industry Policy,0.7021291818594946,0.21460900513722786,0.6195220756040187
NFLX,Industry Position,0.5730146770944342,0.26167535126304786,0.5772121416658116
NFLX,Management Team,0.5221809217737193,0.2842261235545684,0.5592095800542025
NFLX,Market Sentiment,0.5170595343422177,0.25086748095041644,0.5661578218538311
NKE,Industry Policy,0.5947380217711647,0.3076515024625873,0.5712827154788859
NKE,Industry Position,0.5198138066840181,0.3085812624583637,0.5526126535590553
NKE,Management Team,0.6064028448175753,0.25193724091378733,0.5877000557305266
NKE,Market Sentiment,0.6473380650309956,0.1958589604144788,0.6109908467199657
NVDA,Industry Policy,0.4820106154156232,0.18895900808609398,0.5727430522500347
NVDA,Industry Position,0.44835318911006594,0.3384379586756817,0.527451175881921
NVDA,Management Team,0.5980837495726765,0.27182367832092524,0.5808491172934718
NVDA,Market Sentiment,0.6273566111906548,0.1781359467185835,0.6104539239756906
ORCL,Industry Policy,0.6691655092692557,0.2292668315962405,0.6082348873994285
ORCL,Industry Position,0.7694052266862742,0.17780572179339704,0.6437320621727995
ORCL,Management Team,0.5033751226713428,0.20566375077646595,0.5738829475587308
ORCL,Market Sentiment,0.600193938199242,0.24026516118101554,0.5890231928738557
PEP,Industry Policy,0.44051788153169835,0.27831055280300654,0.5404631514981848
PEP,Industry Position,0.6554629203363652,0.1848130528643175,0.6155375597680595
PEP,Management Team,0.54428831094824,0.28139223707287647,0.5653480771713516
PEP,Market Sentiment,0.5867792490454762,0.22597519187335294,0.5892350596820759
PFE,Industry Policy,0.5162518012929638,0.27943689579160935,0.5589285841467186
PFE,Industry Position,0.5877655320268296,0.21231247290884558,0.5927759696765925
PFE,Management Team,0.7155186615311392,0.18342164113679388,0.6299720757345895
PFE,Market Sentiment,0.5807646140923434,0.24135350975876174,0.5840474660487421
PYPL,Industry Policy,0.5109087120352938,0.27782176137685555,0.5580093401723161
PYPL,Industry Position,0.49048964733661404,0.3364890651748708,0.5384242358678492
PYPL,Management Team,0.5248786082787343,0.3517969593313508,0.5431627129571265
PYPL,Market Sentiment,0.5824602234982051,0.24820566710010025,0.5827942144228361
T,Industry Policy,0.657949013818913,0.22129828168009685,0.6074606785329351
T,Industry Position,0.5481158633278624,0.29060379824233157,0.5640246042433372
T,Management Team,0.5451843914517774,0.23688839179305954,0.5764692795797282
T,Market Sentiment,0.6096291536380677,0.2714470257391481,0.5837488725959522
TSLA,Industry Policy,0.5751328385553496,0.24320979842668497,0.5822272084284988
TSLA,Industry Position,0.7711379274384713,0.18197886077793549,0.6431721732841049
TSLA,Management Team,0.654423546921139,0.1954818993064385,0.612763075525178
TSLA,Market Sentiment,0.6272885496450081,0.25274515330825253,0.5925563652766788
VZ,Industry Policy,0.5000134862399042,0.30844068978724937,0.5477472607740299
VZ,Industry Position,0.5989943405534685,0.23604929546093786,0.5897531590168964
VZ,Management Team,0.49991096215973496,0.365039779271151,0.5336667773021215
VZ,Market Sentiment,0.4756740053642686,0.3517902480709588,0.5309313902900726
WFC,Industry Policy,0.6447149049133346,0.18305472706584763,0.6134079425007327
WFC,Industry Position,0.5590098005113291,0.2583935865905993,0.5745931485117395
WFC,Management Team,0.608712573154317,0.24193463301564982,0.5906801863501143
WFC,Market Sentiment,0.48943424197421026,0.3670025773724819,0.5305697402281202
